Time,Learning rate,Train loss,Validation loss,MAE_sigma_iso,RMSE_sigma_iso
3.4710941314697266,0.0001,7188.150451660156,192.9999542236328,11.730944010416666,13.892442489833575
6.694938659667969,0.0001,1400.2655563354492,77.70671844482422,7.107393229166667,8.8151414480994
9.954360723495483,0.0001,984.8237457275391,69.64734649658203,6.674493489583333,8.345498412317864
13.321432113647461,0.0001,930.5307006835938,70.10537719726562,6.626513020833333,8.372895568937507
16.64605402946472,0.0001,900.4428558349609,68.22952270507812,6.592877604166667,8.26011627238584
19.955072164535522,0.0001,887.2149887084961,67.4217529296875,6.5372265625,8.211075155443003
23.195032119750977,0.0001,880.5369873046875,66.95443725585938,6.502544921875,8.182569125891941
26.411731719970703,0.0001,872.8839302062988,66.3675537109375,6.477506510416666,8.146628264707635
29.67797827720642,0.0001,865.2220039367676,65.75614166259766,6.449993489583333,8.109016329576193
33.120710134506226,0.0001,857.0269508361816,65.07096099853516,6.416222005208334,8.06665751979509
36.539528369903564,0.0001,847.6827011108398,64.27725219726562,6.377055989583333,8.017309399044045
39.84275722503662,0.0001,836.6451873779297,63.34130096435547,6.33191015625,7.958724903106862
43.119444847106934,0.0001,823.1576347351074,62.20658874511719,6.277954427083333,7.8871153498390445
46.577375650405884,0.0001,805.6523971557617,60.67374038696289,6.202643229166667,7.789334989800691
50.00531458854675,0.0001,781.3583717346191,58.3380241394043,6.074635416666666,7.6379333619550955
53.252259969711304,0.0001,748.0704574584961,55.33193588256836,5.914953125,7.438544044367823
56.705562114715576,0.0001,702.5718955993652,51.00969696044922,5.676294921875,7.14210738624579
60.208383560180664,0.0001,635.494571685791,44.31406021118164,5.272860026041666,6.656880838651087
63.440207958221436,0.0001,527.6738777160645,34.001930236816406,4.590946940104167,5.83111758513466
66.87842774391174,0.0001,445.0380668640137,29.85308265686035,4.288657552083333,5.463797519430358
70.27760696411133,0.0001,348.4061756134033,23.60186004638672,3.8140983072916668,4.858174489970487
73.5437912940979,0.0001,277.25483894348145,18.943681716918945,3.4378444010416667,4.352434065171655
76.97698593139648,0.0001,246.05473136901855,17.607791900634766,3.322612955729167,4.19616407791092
80.49434018135071,0.0001,231.92564964294434,16.772762298583984,3.2458255208333333,4.0954562284011775
83.98935508728027,0.0001,221.99242973327637,16.2070369720459,3.1906559244791666,4.025796537384455
87.29269433021545,0.0001,213.60642433166504,15.784214973449707,3.15150390625,3.972935293174305
90.40504312515259,0.0001,207.23075103759766,16.10972785949707,3.191348307291667,4.01369254734133
93.82987880706787,0.0001,211.41530227661133,14.653858184814453,3.0267880859375,3.828035798280453
97.0853500366211,0.0001,193.8438949584961,14.821296691894531,3.0533385416666667,3.849843746829214
