Molecule_ID,Atom_Index,Element,Target,Prediction,Difference
0,0,C,33.32592010498047,33.0092658996582,-0.3166542
0,1,C,37.700584411621094,38.11774444580078,0.41716003
0,2,C,13.812856674194336,13.214406967163086,-0.5984497
0,3,C,18.181480407714844,18.777103424072266,0.595623
0,4,C,39.91633605957031,40.92866134643555,1.0123253
0,5,C,46.0889778137207,46.021976470947266,-0.06700134
0,6,C,33.98772048950195,34.1866569519043,0.19893646
0,7,C,33.086673736572266,33.601661682128906,0.51498795
0,8,C,32.50223922729492,32.64790725708008,0.14566803
0,9,C,13.403278350830078,13.4560546875,0.052776337
0,10,C,27.268352508544922,26.546716690063477,-0.7216358
0,11,C,23.861555099487305,23.2529239654541,-0.60863113
0,12,C,30.848270416259766,30.816516876220703,-0.03175354
0,13,C,25.153972625732422,25.29604721069336,0.14207458
0,14,C,20.037574768066406,19.885635375976562,-0.15193939
0,15,C,38.32089614868164,38.16904830932617,-0.15184784
0,16,C,43.08172607421875,42.56340026855469,-0.5183258
0,17,C,40.61785888671875,40.63922119140625,0.021362305
0,18,C,30.457836151123047,30.483604431152344,0.02576828
0,19,C,33.14188003540039,32.685882568359375,-0.45599747
0,20,C,29.663928985595703,29.78960609436035,0.12567711
0,21,C,17.69510269165039,17.782907485961914,0.087804794
0,22,C,36.02908706665039,35.032623291015625,-0.9964638
0,23,C,55.485843658447266,54.26429748535156,-1.2215462
0,24,C,16.22975730895996,15.77997875213623,-0.44977856
0,25,C,32.668487548828125,32.5859260559082,-0.08256149
0,26,C,14.8193359375,15.073715209960938,0.25437927
0,27,C,32.025428771972656,31.346813201904297,-0.67861557
0,28,C,11.979679107666016,12.3148832321167,0.33520412
0,29,C,29.74642562866211,29.591657638549805,-0.15476799
0,30,C,31.36634635925293,31.498382568359375,0.13203621
0,31,C,37.5818977355957,37.55684280395508,-0.025054932
0,32,C,38.58088302612305,38.99708938598633,0.41620636
0,33,C,25.84744644165039,26.621829986572266,0.77438354
0,34,C,26.783828735351562,26.549877166748047,-0.23395157
0,35,C,45.12126922607422,45.285552978515625,0.16428375
0,36,C,38.44325256347656,38.5434684753418,0.10021591
0,37,C,16.364471435546875,16.991989135742188,0.6275177
0,38,C,20.230085372924805,20.271238327026367,0.041152954
0,39,C,35.68335723876953,35.72206115722656,0.03870392
0,40,C,24.631481170654297,25.375524520874023,0.74404335
0,41,C,38.78176498413086,39.0215950012207,0.23983002
0,42,C,27.139118194580078,26.616357803344727,-0.5227604
0,43,C,33.639896392822266,34.114192962646484,0.47429657
0,44,C,35.81770706176758,35.91423034667969,0.096523285
0,45,C,16.77381706237793,17.47633934020996,0.7025223
0,46,C,37.8022575378418,37.37303161621094,-0.42922592
